Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,09-Sep-22,"2,585.40","2,610.00","2,610.00","2,564.00","2,568.90","2,569.30","2,577.69","38,37,302","9,89,13,79,842.80","1,85,947","21,49,444",56.01
RELIANCE,EQ,12-Sep-22,"2,569.30","2,570.55","2,612.00","2,570.55","2,597.60","2,598.05","2,596.44","34,31,445","8,90,95,27,157.50","1,23,802","16,12,795",47
RELIANCE,EQ,13-Sep-22,"2,598.05","2,618.00","2,629.70","2,601.00","2,619.00","2,619.75","2,617.12","41,02,114","10,73,57,22,213.80","1,55,135","21,70,824",52.92
RELIANCE,EQ,14-Sep-22,"2,619.75","2,575.00","2,610.00","2,572.75","2,589.15","2,588.35","2,595.02","40,04,997","10,39,30,65,929.10","1,56,954","21,91,578",54.72
RELIANCE,EQ,15-Sep-22,"2,588.35","2,583.00","2,603.55","2,556.75","2,563.00","2,562.70","2,573.85","47,83,723","12,31,26,02,615.90","1,81,399","28,38,610",59.34
RELIANCE,EQ,16-Sep-22,"2,562.70","2,543.75","2,553.00","2,491.00","2,498.00","2,499.20","2,509.51","93,30,469","23,41,48,92,723.80","3,11,718","55,87,220",59.88
RELIANCE,EQ,19-Sep-22,"2,499.20","2,499.20","2,522.70","2,481.35","2,502.40","2,502.45","2,506.17","34,98,286","8,76,73,14,647.00","1,37,901","16,78,286",47.97
RELIANCE,EQ,20-Sep-22,"2,502.45","2,522.45","2,537.70","2,494.70","2,497.85","2,502.85","2,518.24","38,81,882","9,77,54,96,109.20","1,78,557","17,76,953",45.78
RELIANCE,EQ,21-Sep-22,"2,502.85","2,496.75","2,533.00","2,495.00","2,507.70","2,509.75","2,515.30","42,49,172","10,68,79,28,437.35","1,46,056","20,95,628",49.32
RELIANCE,EQ,22-Sep-22,"2,509.75","2,486.00","2,503.00","2,472.10","2,487.95","2,486.10","2,488.77","47,57,219","11,83,96,11,958.30","2,07,678","26,69,635",56.12
RELIANCE,EQ,23-Sep-22,"2,486.10","2,485.00","2,495.95","2,436.10","2,438.80","2,439.50","2,455.68","43,97,194","10,79,81,21,356.15","2,46,646","24,91,690",56.67
RELIANCE,EQ,26-Sep-22,"2,439.50","2,394.05","2,417.80","2,375.15","2,378.15","2,377.35","2,392.03","57,59,298","13,77,64,01,753.70","3,34,638","32,59,263",56.59
RELIANCE,EQ,27-Sep-22,"2,377.35","2,394.00","2,426.00","2,360.10","2,394.00","2,396.25","2,390.70","74,55,448","17,82,37,38,488.00","2,95,538","41,99,383",56.33
RELIANCE,EQ,28-Sep-22,"2,396.25","2,360.35","2,378.00","2,327.10","2,330.50","2,332.45","2,353.58","78,44,140","18,46,17,91,856.30","3,87,724","44,21,083",56.36
RELIANCE,EQ,29-Sep-22,"2,332.45","2,360.00","2,367.50","2,313.00","2,328.00","2,325.30","2,334.53","67,71,046","15,80,72,34,115.85","2,88,225","43,18,113",63.77
RELIANCE,EQ,30-Sep-22,"2,325.30","2,311.00","2,402.00","2,311.00","2,376.15","2,377.75","2,371.60","85,89,908","20,37,18,10,194.00","2,64,760","50,32,369",58.58
RELIANCE,BL,03-Oct-22,"2,534.00","2,377.75","2,377.75","2,377.75","2,377.75","2,377.75","2,377.75","38,51,162","9,15,71,00,445.50",1,-,-
RELIANCE,EQ,03-Oct-22,"2,377.75","2,391.50","2,416.95","2,363.00","2,367.05","2,369.50","2,382.06","54,70,030","13,02,99,23,334.80","2,30,794","27,17,072",49.67
RELIANCE,EQ,04-Oct-22,"2,369.50","2,397.80","2,418.00","2,390.15","2,412.90","2,413.20","2,406.73","41,29,893","9,93,95,56,462.20","1,52,496","20,69,006",50.1
